 #  1385
  6  6  1   4.748   2.855
  7  4  1   5.700   2.774
  7  7  1   3.866   2.551
  8  2  1   6.369   2.582
  8  5  1   4.490   2.537
  8  8  1   3.277   2.300
  9  0  1   6.561   2.474
  9  3  1   5.055   2.453
  9  6  1   3.714   2.320
  9  9  1   2.801   2.104
 10  1  1   5.436   2.365
 10  4  1   4.149   2.287
 10 10  1   2.459   1.930
 11  2  1   4.465   2.231
 11 11  1   2.164   1.793
 12  0  1   4.633   2.198
 12  3  1   3.767   2.087
 12  9  1   2.354   1.821
 12 12  1   1.941   1.673
 13  1  1   3.957   2.063
 13  7  1   2.553   1.832
 13 10  1   2.094   1.698
 14  2  1   3.382   1.931
 14 11  1   1.867   1.596
 14 14  1   1.583   1.477
 15  0  1   3.501   1.925
 15  3  1   2.929   1.819
 16  1  1   3.067   1.804
 16 13  1   1.528   1.426
 17 11  1   1.619   1.441
 17 17  1   1.217   1.267
 18  0  1   2.766   1.690
 18  3  1   2.375   1.605
 18  9  1   1.726   1.442
 18 12  1   1.480   1.361
 18 15  1   1.282   1.285
 18 18  1   1.128   1.209
 19  1  1   2.467   1.596
 19 13  1   1.348   1.306
 19 16  1   1.185   1.223
 19 19  1   1.046   1.160
 20  2  1   2.199   1.515
 20 11  1   1.428   1.304
 20 14  1   1.244   1.241
 20 17  1   1.094   1.173
 20 20  1   0.976   1.107
 21  0  1   2.254   1.509
 21  3  1   1.980   1.435
 21  9  1   1.493   1.306
 21 12  1   1.305   1.247
 21 15  1   1.145   1.192
 21 18  1   1.019   1.124
 21 21  1   0.910   0.000
 22  1  1   2.053   1.426
 22 10  1   1.363   1.250
 22 13  1   1.206   1.190
 22 16  1   1.065   1.132
 22 19  1   0.949   0.000
 22 22  1   0.853   0.000
 23  2  1   1.846   1.373
 23  5  1   1.621   1.304
 23 11  1   1.258   1.191
 23 14  1   1.111   1.145
 23 17  1   0.989   1.093
 23 20  1   0.889   0.000
 24  0  1   1.901   1.349
 24  3  1   1.689   1.296
 24  6  1   1.475   1.250
 24  9  1   1.309   1.196
 24 12  1   1.159   1.145
 24 15  1   1.038   1.095
 24 18  1   0.926   0.000
 25  1  1   1.733   1.299
 25  4  1   1.526   1.252
 25  7  1   1.359   1.192
 25 10  1   1.203   1.150
 25 13  1   1.077   1.099
 25 16  1   0.962   1.054
 25 19  1   0.863   0.000
 26  2  1   1.588   1.236
 26  5  1   1.408   1.189
 26  8  1   1.245   1.153
 26 11  1   1.118   1.101
 26 14  1   1.000   1.059
 26 17  1   0.902   0.000
 27  0  1   1.621   1.231
 27  3  1   1.455   1.186
 27  6  1   1.289   1.149
 27  9  1   1.158   1.098
 27 12  1   1.036   1.066
 27 15  1   0.936   0.000
 28  1  1   1.496   1.180
 28  4  1   1.336   1.139
 28  7  1   1.196   1.097
 28 10  1   1.070   1.061
 28 13  1   0.968   1.019
 29  2  1   1.386   1.130
 29  5  1   1.233   1.096
 29  8  1   1.103   1.065
 29 11  1   1.000   1.020
 29 14  1   0.901   0.000
 30  0  1   1.408   1.123
 30  3  1   1.276   1.087
 30  6  1   1.142   1.057
 30  9  1   1.033   1.021
 30 12  1   0.932   0.000
 31  1  1   1.311   1.082
 31  4  1   1.184   1.044
 31  7  1   1.061   1.016
 31 10  1   0.958   0.990
 32  2  1   1.220   1.037
 32  5  1   1.097   1.010
 32  8  1   0.989   0.985
 33  0  1   1.237   1.038
 33  3  1   1.132   1.004
 33  6  1   1.023   0.969
 33  9  1   0.925   0.000
 34  1  1   1.164   0.988
 34  4  1   1.055   0.961
 34  7  1   0.953   0.943
 35  2  1   1.085   0.964
 35  5  1   0.982   0.935
 36  0  1   1.102   0.949
 36  3  1   1.016   0.920
 37  1  1   1.034   0.918
  6  6  2   4.757   2.852
  7  4  2   4.713   3.243
  7  7  2   3.866   2.551
  8  2  2   4.320   3.627
  8  5  2   3.913   2.822
  8  8  2   3.279   2.300
  9  0  2   5.811   3.784
  9  3  2   3.767   3.093
  9  6  2   3.341   2.509
  9  9  2   2.804   2.105
 10  1  2   3.711   3.294
 10  4  2   3.302   2.713
 10  7  2   2.875   2.257
 10 10  2   2.455   1.930
 11  2  2   3.207   2.873
 11  5  2   2.882   2.418
 11  8  2   2.527   2.062
 11 11  2   2.162   1.793
 12  0  2   3.736   2.961
 12  3  2   2.868   2.558
 12  6  2   2.555   2.187
 12  9  2   2.228   1.899
 12 12  2   1.939   1.673
 13  1  2   2.962   2.637
 13  4  2   2.545   2.309
 13  7  2   2.261   2.002
 13 10  2   1.993   1.761
 13 13  2   1.739   1.573
 14  2  2   2.550   2.399
 14  5  2   2.289   2.106
 14  8  2   2.035   1.854
 14 11  2   1.792   1.643
 14 14  2   1.582   1.476
 15  0  2   2.911   2.427
 15  3  2   2.289   2.184
 15  6  2   2.052   1.934
 15  9  2   1.828   1.724
 15 12  2   1.628   1.546
 15 15  2   1.438   1.403
 16  1  2   2.425   2.236
 16  4  2   2.059   2.017
 16  7  2   1.860   1.797
 16 10  2   1.662   1.609
 16 13  2   1.479   1.455
 16 16  2   1.323   1.328
 17  2  2   2.100   2.066
 17  5  2   1.873   1.866
 17  8  2   1.690   1.677
 17 11  2   1.515   1.518
 17 14  2   1.362   1.377
 17 17  2   1.217   1.267
 18  0  2   2.339   2.090
 18  3  2   1.893   1.920
 18  6  2   1.702   1.747
 18  9  2   1.544   1.583
 18 12  2   1.390   1.432
 18 15  2   1.249   1.313
 18 18  2   1.127   1.209
 19  1  2   2.025   1.956
 19  4  2   1.716   1.797
 19  7  2   1.561   1.631
 19 10  2   1.415   1.488
 19 13  2   1.279   1.356
 19 16  2   1.157   1.248
 19 19  2   1.045   1.160
 20  2  2   1.771   1.830
 20  5  2   1.574   1.683
 20  8  2   1.431   1.547
 20 11  2   1.305   1.410
 20 14  2   1.183   1.291
 20 17  2   1.071   1.191
 20 20  2   0.976   1.106
 21  0  2   1.935   1.837
 21  3  2   1.602   1.727
 21  6  2   1.443   1.594
 21  9  2   1.321   1.460
 21 12  2   1.205   1.337
 21 15  2   1.096   1.232
 21 18  2   0.999   1.146
 21 21  2   0.910   0.000
 22  1  2   1.712   1.750
 22  4  2   1.461   1.625
 22  7  2   1.338   1.506
 22 10  2   1.222   1.386
 22 13  2   1.120   1.277
 22 16  2   1.020   1.182
 22 19  2   0.930   0.000
 22 22  2   0.853   0.000
 23  2  2   1.520   1.648
 23  5  2   1.349   1.551
 23  8  2   1.235   1.430
 23 11  2   1.136   1.321
 23 14  2   1.041   1.219
 23 17  2   0.952   1.127
 23 20  2   0.874   0.000
 24  0  2   1.631   1.674
 24  3  2   1.378   1.574
 24  6  2   1.248   1.469
 24  9  2   1.150   1.352
 24 12  2   1.055   1.254
 24 15  2   0.971   1.167
 24 18  2   0.891   0.000
 25  1  2   1.475   1.578
 25  4  2   1.267   1.485
 25  7  2   1.160   1.391
 25 10  2   1.068   1.292
 25 13  2   0.988   1.200
 25 16  2   0.909   0.000
 25 19  2   0.837   0.000
 26  2  2   1.321   1.524
 26  5  2   1.176   1.427
 26  8  2   1.080   1.327
 26 11  2   0.999   1.239
 26 14  2   0.920   0.000
 26 17  2   0.853   0.000
 27  0  2   1.401   1.522
 27  3  2   1.208   1.446
 27  6  2   1.091   1.355
 27  9  2   1.009   1.275
 27 12  2   0.934   0.000
 27 15  2   0.867   0.000
 28  1  2   1.282   1.457
 28  4  2   1.110   1.395
 28  7  2   1.021   1.309
 28 10  2   0.944   0.000
 28 13  2   0.878   0.000
 29  2  2   1.166   1.398
 29  5  2   1.033   1.334
 29  8  2   0.954   1.238
 29 11  2   0.887   0.000
 29 14  2   0.824   0.000
 30  0  2   1.219   1.416
 30  3  2   1.066   1.344
 30  6  2   0.963   1.275
 30  9  2   0.896   0.000
 30 12  2   0.833   0.000
 31  1  2   1.130   1.363
 31  4  2   0.988   1.298
 31  7  2   0.906   0.000
 31 10  2   0.842   0.000
 32  2  2   1.033   1.320
 32  5  2   0.918   0.000
 32  8  2   0.849   0.000
 33  0  2   1.074   1.310
 33  3  2   0.950   1.261
 33  6  2   0.861   0.000
 33  9  2   0.803   0.000
 34  1  2   1.004   1.279
 34  4  2   0.882   0.000
 34  7  2   0.810   0.000
 35  2  2   0.925   0.000
 35  5  2   0.823   0.000
 36  0  2   0.952   1.242
 36  3  2   0.856   0.000
 37  1  2   0.895   0.000
  7  5  1   1.647   1.223
  8  3  1   1.765   1.334
  8  6  1   1.357   1.073
  9  1  1   1.941   1.462
  9  4  1   1.446   1.158
  9  7  1   1.147   0.971
 10  2  1   1.544   1.262
 10  5  1   1.216   1.044
 10  8  1   0.980   0.878
 11  0  1   1.560   1.403
 11  3  1   1.282   1.118
 11  6  1   1.035   0.937
 11  9  1   0.850   0.000
 12  1  1   1.381   1.222
 12  4  1   1.086   1.001
 12  7  1   0.896   0.000
