1385
6	6	1	4.748
7	4	1	5.700
7	7	1	3.866
8	2	1	6.369
8	5	1	4.490
8	8	1	3.277
9	0	1	6.561
9	3	1	5.055
9	6	1	3.714
9	9	1	2.801
10	1	1	5.436
10	4	1	4.149
10	10	1	2.459
11	2	1	4.465
11	11	1	2.164
12	0	1	4.633
12	3	1	3.767
12	9	1	2.354
12	12	1	1.941
13	1	1	3.957
13	7	1	2.553
13	10	1	2.094
14	2	1	3.382
14	11	1	1.867
14	14	1	1.583
15	0	1	3.501
15	3	1	2.929
16	1	1	3.067
16	13	1	1.528
17	11	1	1.619
17	17	1	1.217
18	0	1	2.766
18	3	1	2.375
18	9	1	1.726
18	12	1	1.480
18	15	1	1.282
18	18	1	1.128
19	1	1	2.467
19	13	1	1.348
19	16	1	1.185
19	19	1	1.046
20	2	1	2.199
20	11	1	1.428
20	14	1	1.244
20	17	1	1.094
20	20	1	0.976
21	0	1	2.254
21	3	1	1.980
21	9	1	1.493
21	12	1	1.305
21	15	1	1.145
21	18	1	1.019
21	21	1	0.910
22	1	1	2.053
22	10	1	1.363
22	13	1	1.206
22	16	1	1.065
22	19	1	0.949
22	22	1	0.853
23	2	1	1.846
23	5	1	1.621
23	11	1	1.258
23	14	1	1.111
23	17	1	0.989
23	20	1	0.889
24	0	1	1.901
24	3	1	1.689
24	6	1	1.475
24	9	1	1.309
24	12	1	1.159
24	15	1	1.038
24	18	1	0.926
25	1	1	1.733
25	4	1	1.526
25	7	1	1.359
25	10	1	1.203
25	13	1	1.077
25	16	1	0.962
25	19	1	0.863
26	2	1	1.588
26	5	1	1.408
26	8	1	1.245
26	11	1	1.118
26	14	1	1.000
26	17	1	0.902
27	0	1	1.621
27	3	1	1.455
27	6	1	1.289
27	9	1	1.158
27	12	1	1.036
27	15	1	0.936
28	1	1	1.496
28	4	1	1.336
28	7	1	1.196
28	10	1	1.070
28	13	1	0.968
29	2	1	1.386
29	5	1	1.233
29	8	1	1.103
29	11	1	1.000
29	14	1	0.901
30	0	1	1.408
30	3	1	1.276
30	6	1	1.142
30	9	1	1.033
30	12	1	0.932
31	1	1	1.311
31	4	1	1.184
31	7	1	1.061
31	10	1	0.958
32	2	1	1.220
32	5	1	1.097
32	8	1	0.989
33	0	1	1.237
33	3	1	1.132
33	6	1	1.023
33	9	1	0.925
34	1	1	1.164
34	4	1	1.055
34	7	1	0.953
35	2	1	1.085
35	5	1	0.982
36	0	1	1.102
36	3	1	1.016
37	1	1	1.034
6	6	2	4.757
7	4	2	4.713
7	7	2	3.866
8	2	2	4.320
8	5	2	3.913
8	8	2	3.279
9	0	2	5.811
9	3	2	3.767
9	6	2	3.341
9	9	2	2.804
