 003 002 001     +0.362589684912118     +0.343238418094520     +0.176324390225442 
 003 002 002     +0.866377886964386     +0.874953920997773     +0.435322392779566 
 003 002 003     -1.122772550259487     -2.464101349078609     -0.771319381011240 
 003 003 001     +0.000732612686236     +0.000732523349841     +0.000366284007657 
 003 003 002     +0.430703061913183     +0.519964228380798     +0.235571569081421 
 004 000 001     +0.085598650777035     +0.086649659614990     +0.043060474360832 
 004 001 001     +0.125116319317384     +0.126283328795363     +0.062848557699400 
 004 001 002     +0.140041060854752     +0.146891127595420     +0.071692163398341 
 004 002 001     +0.472286574434847     +0.454550141583963     +0.231624325587473 
 004 002 002     +0.245210386874522     +0.260161583642766     +0.126232411563373 
 004 002 003     +0.252942476148230     +0.304423631990225     +0.138152761980492 
 004 002 004     -1.290070669819811     -1.972708033355121     -0.779989391089549 
 004 003 001     +0.228428571062029     +0.231682742710679     +0.115022074600138 
 004 003 002     +0.497908631307293     +0.514309256874890     +0.252988038592297 
 004 003 003     +0.348777706799717     +0.432404175801460     +0.193057391889938 
 004 004 001     +0.000597760101569     +0.000597787415635     +0.000298886879145 
 004 004 002     +0.386658995395104     +0.437099071086309     +0.205167384200879 
 005 000 001     +0.594547935966471     +0.631517231665671     +0.306237609978931 
 005 000 002     +0.112285754068567     +0.117046649858101     +0.057308392165631 
 005 001 001     +0.108505104706900     +0.112312210435092     +0.055187919232180 
 005 001 002     +1.499438478478352     +1.524422410515826     +0.755913616298158 
 005 001 003     +0.202907199301717     +0.223785415143853     +0.106417759047488 
 005 002 001     +0.022675909241923     +0.022752839255835     +0.011357154555707 
 005 002 002     +0.237712934306818     +0.264990878914706     +0.125305911223711 
 005 002 003     +0.819831244827980     +1.005496877258341     +0.451610724986337 
 005 003 001     +0.250643238235290     +0.256330257275961     +0.126727425220805 
 005 003 002     +0.238843940450718     +0.256717498069105     +0.123729196937953 
 005 003 003     +0.546988766579055     +0.721747590980971     +0.311166163261312 
 005 003 004     +0.293333935482942     +0.361379056403822     +0.161910244839588 
 005 004 001     +0.165403809833590     +0.170767191929738     +0.084021358152861 
 005 004 002     +0.341085493454440     +0.363073955574986     +0.175868206367809 
 005 004 003     +0.340104250683968     +0.403047481191975     +0.184455146508008 
 005 004 004     +0.427167655856204     +0.567978125976101     +0.243805369102892 
 005 005 001     +0.000809310976805     +0.000809439872871     +0.000404687709853 
 005 005 002     +0.333833852478848     +0.373517646621150     +0.176281290276510 
 005 005 003     +0.366880476973868     +0.484505693775968     +0.208783847020358 
 006 000 001     +0.062048521258018     +0.063228946218942     +0.031316586235347 
 006 000 002     +0.166890655563165     +0.181584918746939     +0.086963989341453 
 006 001 001     +0.311928683347116     +0.329956522922274     +0.160344720133248 
 006 001 002     +0.157724663042506     +0.170023849473612     +0.081821742413236 
 006 001 003     +0.210136159307142     +0.237682546486052     +0.111531065600430 
 006 002 001     +0.121974654935007     +0.127079357364261     +0.062237346111262 
 006 002 002     +0.624168878496950     +0.666298959542327     +0.322273102871829 
 006 002 003     +0.242890384731396     +0.280370151035674     +0.130143989843272 
 006 002 004     +0.250672760033553     +0.301438399709056     +0.136860837354552 
 006 003 001     +0.007356593679308     +0.007368419387229     +0.003681250892318 
 006 003 002     +0.244367964798515     +0.274248183261714     +0.129223647670863 
 006 003 003     +0.587760870051917     +0.663571915184025     +0.311684957680574 
 006 003 004     +0.275914412290594     +0.340814099653489     +0.152474744048750 
 006 004 001     +0.172308235535175     +0.178243375048860     +0.087612780895043 
 006 004 002     +0.213423675357423     +0.229587195589757     +0.110605283777814 
 006 004 003     +0.482693316027156     +0.575894439900685     +0.262595514940201 
 006 004 004     +0.301784804376672     +0.365299982331537     +0.165259328204326 
 006 004 005     +0.452338336133287     +0.657676485056302     +0.268007490787860 
