0 1 12400
  24   3    2.0061    0.1015    1.3289    0.0765    1.0
  24   6    2.1515    0.1901    1.2792    0.0785    1.0
  24   9    2.3115    0.2670    1.2144    0.0770    1.0
  24  12    2.4834    0.3335    1.1584    0.0755    1.0
  24  15    2.6649    0.3911    1.0954    0.0723    1.0
  24  18    2.8541    0.4413    1.0432    0.0702    1.0
  25   1    1.9969    0.0339    1.3312    0.0735    1.0
  25   4    2.1301    0.1276    1.2791    0.0757    1.0
  25   7    2.2796    0.2096    1.2146    0.0749    1.0
  25  10    2.4426    0.2810    1.1628    0.0743    1.0
  25  13    2.6163    0.3433    1.1054    0.0719    1.0
  25  16    2.7990    0.3975    1.0537    0.0699    1.0
  25  19    2.9889    0.4450    1.0047    0.0676    1.0
  26   2    2.1172    0.0641    1.2631    0.0709    1.0
  26   5    2.2554    0.1508    1.2083    0.0722    1.0
  26   8    2.4086    0.2270    1.1653    0.0729    1.0
  26  11    2.5740    0.2937    1.1072    0.0708    1.0
  26  14    2.7495    0.3521    1.0587    0.0691    1.0
  26  17    2.9332    0.4033    1.0086    0.0664    1.0
  27   0    2.1129    0.0000    1.2562    0.0683    1.0
  27   3    2.2391    0.0909    1.2090    0.0690    1.0
  27   6    2.3818    0.1715    1.1662    0.0706    1.0
  27   9    2.5382    0.2426    1.1098    0.0693    1.0
  27  12    2.7058    0.3051    1.0662    0.0683    1.0
  27  15    2.8828    0.3601    1.0152    0.0659    1.0
  28   1    2.2310    0.0304    1.1998    0.0658    1.0
  28   4    2.3626    0.1150    1.1531    0.0674    1.0
  28   7    2.5092    0.1901    1.1075    0.0676    1.0
  28  10    2.6684    0.2566    1.0673    0.0674    1.0
  28  13    2.8380    0.3154    1.0186    0.0653    1.0
  29   2    2.3509    0.0577    1.1452    0.0633    1.0
  29   5    2.4872    0.1366    1.1058    0.0655    1.0
  29   8    2.6373    0.2069    1.0712    0.0661    1.0
  29  11    2.7991    0.2694    1.0199    0.0643    1.0
  29  14    2.9705    0.3249    0.9846    0.0633    1.0
  30   0    2.3471    0.0000    1.1383    0.0615    1.0
  30   3    2.4725    0.0823    1.0993    0.0622    1.0
  30   6    2.6129    0.1562    1.0625    0.0636    1.0
  30   9    2.7662    0.2222    1.0212    0.0630    1.0
  30  12    2.9303    0.2810    0.9852    0.0623    1.0
  31   1    2.4650    0.0275    1.0921    0.0593    1.0
  31   4    2.5954    0.1046    1.0514    0.0604    1.0
  31   7    2.7396    0.1739    1.0210    0.0618    1.0
  31  10    2.8956    0.2361    0.9899    0.0616    1.0
  32   2    2.5848    0.0524    1.0446    0.0575    1.0
  32   5    2.7195    0.1249    1.0146    0.0592    1.0
  32   8    2.8671    0.1901    0.9848    0.0599    1.0
  33   0    2.5813    0.0000    1.0462    0.0561    1.0
  33   3    2.7060    0.0752    1.0073    0.0564    1.0
  33   6    2.8446    0.1433    0.9693    0.0575    1.0
  33   9    2.9951    0.2049    0.9472    0.0579    1.0
